Question,answer choice A,answer choice B,answer choice C,answer choice D,Correct Answer,
How frequently may an Archer MSA be rolled over?,Every 6 months,Every 12 months,Every 24 months,An Archer MSA cannot be rolled over,Every 12 months,
"What is the maximum HSA contribution in 2025 for a self-only plan with a $5,000 deductible?","$3,300 ","$4,300 ","$4,650 ","$8,550 ","$4,300 ",
"What tax penalty applies for a $10,000 Archer MSA withdrawal at age 55 with no exceptions?",$500 ,"$1,000 ","$2,000 ","$5,000 ","$2,000 ",
What is the additional HSA contribution for a 60-year-old participant in 2025?,$0 ,$500 ,"$1,000 ","$2,500 ","$1,000 ",
"Justin, age 66, spent $6,000 on medical expenses but withdrew $8,000 from his MSA. What tax penalty applies?",$0 ,$400 ,"$1,000 ","$1,600 ",$0 ,
"Linda, age 58, contributed $3,500 to a traditional IRA in 2025. What is the max Roth IRA contribution she can make in 2025?","$8,000 ","$7,000 ","$4,500 ","$3,000 ","$4,500 ",
"Gary, age 55, married, AGI $150,000, and active in a 401(k). What is his max deductible IRA contribution in 2025?","$7,000 ",$0 ,"$6,000 ","$1,000 ",$0 ,
What is the longest vesting period for employer contributions for hiring military spouses?,All contributions must vest immediately,6 months,2 years,6 years,All contributions must vest immediately,
At what age must traditional IRA owners begin RMDs before 2033 under SECURE Act 2.0?,65,70,72,73,73,
How long can a taxpayer wait to repay an emergency distribution from a retirement plan?,No time period applies,1 year,2 years,3 years,3 years,
"Under SECURE Act 2.0, annuity payments may increase annually by a rate less than ___%.",3%,5%,7%,9%,5%,
"Helen was required to take a $20,000 RMD but only took $10,000. What penalty applies?","$1,000 ","$2,500 ","$5,000 ",No penalty applies after 2023,"$2,500 ",
